class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
venenoso,convexa,lisa,marrón,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,urbano
comestible,convexa,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,campana,lisa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,urbano
comestible,convexa,lisa,gris,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,gramíneas
comestible,campana,lisa,blanco,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,numerosa,praderas
comestible,campana,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,rosa,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,gramíneas
comestible,campana,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
comestible,campana,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,gramíneas
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,urbano
comestible,convexa,fibrosa,marrón,ninguna,ninguno,libre,apretado,ancho,marrón,afinándose,igual,lisa,fibrosa,blanco,blanco,parcial,blanco,uno,efímero,negro,abundante,gramíneas
comestible,hundida,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,urbano
comestible,plana,fibrosa,blanco,ninguna,ninguno,libre,apretado,ancho,negro,afinándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,efímero,marrón,abundante,gramíneas
venenoso,convexa,lisa,marrón,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,gramíneas
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,urbano
venenoso,convexa,lisa,marrón,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,urbano
comestible,campana,lisa,amarillo,magulladuras,almendra,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
venenoso,convexa,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,gramíneas
comestible,campana,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,negro,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,campana,escamosa,blanco,magulladuras,almendra,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
comestible,campana,lisa,blanco,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,dispersa,praderas
venenoso,plana,lisa,blanco,magulladuras,picante,libre,cercano,angosto,marrón,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,gramíneas
comestible,convexa,escamosa,amarillo,magulladuras,almendra,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
comestible,convexa,escamosa,blanco,magulladuras,anís,libre,cercano,ancho,blanco,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
comestible,plana,fibrosa,marrón,ninguna,ninguno,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,solitaria,urbano
comestible,convexa,lisa,amarillo,magulladuras,almendra,libre,apretado,angosto,marrón,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,campana,lisa,amarillo,magulladuras,anís,libre,cercano,ancho,gris,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
venenoso,convexa,escamosa,blanco,magulladuras,picante,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,urbano
comestible,convexa,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,numerosa,praderas
comestible,convexa,escamosa,marrón,magulladuras,anís,libre,cercano,ancho,rosa,ensanchándose,enraizado,lisa,escamosa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,solitaria,senderos
comestible,campana,escamosa,amarillo,magulladuras,anís,libre,cercano,ancho,marrón,ensanchándose,cúpula,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,praderas
comestible,convexa,fibrosa,amarillo,magulladuras,anís,libre,apretado,angosto,blanco,afinándose,bulboso,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,varias,bosques
comestible,hundida,fibrosa,gris,ninguna,ninguno,libre,cercano,angosto,negro,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,negro,varias,urbano
venenoso,convexa,escamosa,marrón,magulladuras,picante,libre,cercano,angosto,blanco,ensanchándose,igual,lisa,lisa,blanco,blanco,parcial,blanco,uno,pendiente,marrón,dispersa,urbano
