id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedroom,bed,bath,is_studio,type
11508,42762,Candela,,Palermo,-34.58184,-58.42415,Entire home/apt,17339,3,36,2023-05-13,0.27,1,208,8,,4.81,1,1,1,False,Condo 
14222,87710233,María,,Palermo,-34.58617,-58.41036,Entire home/apt,7807,7,108,2023-04-20,0.81,6,261,11,,4.78,1,1,1,False,Rental unit 
15074,59338,Monica,,Nuñez,-34.53892,-58.46599,Private room,7665,29,0,,,1,0,0,,,1,1,1,False,Rental unit 
16695,64880,Elbio Mariano,,Monserrat,-34.61439,-58.37611,Entire home/apt,12738,2,46,2019-11-30,0.31,9,147,0,,4.28,1,1,1,False,Loft 
20062,75891,Sergio Damian,,Palermo,-34.581848,-58.441605,Entire home/apt,25660,2,283,2023-06-11,1.77,4,118,31,,4.93,2,2,1.5,False,Rental unit 
20429,77065,Marcelo,,Constitucion,-34.6226,-58.38704,Entire home/apt,8943,15,0,,,1,0,0,,,1,1,1,False,Rental unit 
24713,100743,Griselda,,San Nicolas,-34.60254,-58.37811,Entire home/apt,10877,1,373,2023-01-25,2.98,7,61,18,,4.66,1,2,1,False,Rental unit 
24763,101049,Sebastian,,Chacarita,-34.58494,-58.44419,Entire home/apt,17069,7,37,2022-12-14,0.25,1,89,3,,4.62,1,1,1,False,Loft 
26258,111013,Daniel,,Almagro,-34.59997,-58.41238,Entire home/apt,6369,7,2,2013-10-23,0.01,1,355,0,,,1,2,1.5,False,Rental unit 
27631,119446,Inés,,Recoleta,-34.59272,-58.3894,Entire home/apt,7445,2,107,2023-06-19,0.68,1,358,9,,4.70,1,3,1,False,Rental unit 
28244,119613,Marcos,,Palermo,-34.57709,-58.43665,Entire home/apt,12622,21,36,2023-06-23,0.31,8,57,7,,4.86,1,1,1.5,False,Loft 
29990,129245,Savvas,,Palermo,-34.58602,-58.42749,Entire home/apt,13251,2,155,2023-02-16,1.0,1,2,1,,4.64,1,2,1,False,Rental unit 
31216,134014,Marian,,Belgrano,-34.55948,-58.44528,Entire home/apt,17578,7,8,2023-06-24,0.55,2,365,4,,5.0,1,1,1,False,Rental unit 
31514,64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,12775,2,35,2023-02-19,0.23,9,279,4,,4.26,1,4,1,False,Loft 
31920,137373,Nancy,,Belgrano,-34.5644,-58.4606,Entire home/apt,15330,30,0,,,1,0,0,,,1,2,1,False,Rental unit 
35703,150763,Viviana,,Recoleta,-34.59188,-58.40778,Entire home/apt,7643,7,90,2021-12-02,0.61,1,261,0,,4.83,1,1,1.5,False,Rental unit 
37347,161327,Mariano,,Palermo,-34.57148,-58.43246,Entire home/apt,7169,14,69,2023-06-20,0.46,16,333,16,,4.78,1,1,1,False,Rental unit 
41608,181721,Silveria,,Palermo,-34.5847,-58.42648,Entire home/apt,13502,2,144,2023-03-15,0.98,2,346,10,,4.78,1,1,1,True,Rental unit 
42450,185437,Grisel,,Monserrat,-34.61578,-58.37175,Entire home/apt,21718,4,155,2023-06-10,1.08,3,172,10,,4.81,2,2,2,False,Condo 
45498,75891,Sergio Damian,,Palermo,-34.58182,-58.44144,Entire home/apt,25880,2,159,2023-06-18,1.02,4,150,25,,4.88,2,2,1.5,False,Rental unit 
48089,192475,Chris,,Recoleta,-34.58705,-58.38791,Entire home/apt,12738,7,104,2023-03-14,0.67,1,223,1,,4.88,2,3,1.5,False,Rental unit 
48535,221044,Florencia,,Retiro,-34.5962,-58.37529,Entire home/apt,12775,90,0,,,1,364,0,,,1,2,2,False,Rental unit 
50778,233651,Cameron,,Recoleta,-34.58978,-58.40011,Entire home/apt,15286,5,97,2022-05-24,0.63,6,179,0,,4.41,2,2,1.5,False,Condo 
52511,242939,Gri,,San Nicolas,-34.60767,-58.37257,Entire home/apt,17885,4,0,,,1,0,0,,,1,1,1,False,Rental unit 
53097,64880,Elbio Mariano,,Monserrat,-34.61494,-58.37517,Entire home/apt,17885,2,37,2022-07-05,0.24,9,304,1,,4.28,2,3,1,False,Loft 
